Id;Name;MakeId;OriginalId
51000399;Unknown (automobile);51;399
51000401;XC90;51;401
51000402;XC70 (For 2014 on.  For prior to 2013, use model code 043);51;402
51000403;XC40;51;403
51000404;XC60 (For 2019 on.  For model years 2008-2018, see 51-050.);51;404
51000498;Other (light truck);51;498
51000499;Unknown (light truck);51;499
51000881;Medium/Heavy – CBE;51;881
51000882;Medium/Heavy - COE low entry;51;882
51000883;Medium/Heavy - COE high entry;51;883
51000884;Medium/Heavy – Unknown engine location;51;884
51000890;Medium/Heavy – COE entry position unknown;51;890
51000898;Other (medium/heavy truck);51;898
51000981;Bus**: Conventional (Engine out front);51;981
51000983;Bus : Rear engine, Flat front;51;983
51000988;Other (bus);51;988
51000989;Unknown (bus);51;989
51000998;Other (Vehicle);51;998
51000999;Unknown (VOLVO);51;999
38000031;I-Mark;38;31
38000032;Impulse;38;32
38000033;Stylus;38;33
52000031;Starion;52;31
52000032;Tredia;52;32
52000033;Cordia;52;33
52000034;Galant;52;34
52000035;Mirage (For 1985-2002.  For 2014 on use model 048.);52;35
52000036;Precis;52;36
52000037;Eclipse;52;37
52000038;Sigma;52;38
52000039;3000 GT;52;39
52000040;Diamante;52;40
52000041;iMiEV  (For 2018 on, code as vehicle model 398);52;41
52000045;Expo Wagon;52;45
52000046;Lancer/Lancer Sportback/ Lancer Evolution;52;46
52000047;Outlander (For 2003-2018 only.  For model years 2019 on, see 52-404.);52;47
52000048;Mirage (2014 on.  For 1985-2002 use 52-035.);52;48
52000398;Other (automobile);52;398
52000399;Unknown (automobile);52;399
52000401;Montero/Montero Sport;52;401
52000402;Endeavor;52;402
52000403;Eclipse Cross;52;403
52000404;Outlander (For 2019 on.  For model years 2003-2018, see 52-047.);52;404
52000441;Mini-Van;52;441
52000471;Pickup;52;471
52000472;Raider;52;472
52000498;Other (light truck);52;498
52000499;Unknown (light truck);52;499
52000882;Medium/Heavy – COE, low entry;52;882
52000898;Other (medium/heavy truck);52;898
52000981;Bus**: Conventional (Engine out front);52;981
52000982;Bus: Front engine, Flat Front;52;982
52000983;Bus: Rear engine, Flat front;52;983
52000988;Other (bus);52;988
52000989;Unknown (bus);52;989
52000999;Unknown (MITSUBISHI);52;999
53000031;Swift/SA310;53;31
53000032;Esteem;53;32
53000033;Aerio;53;33
53000034;Forenza;53;34
53000035;Verona;53;35
53000036;Reno;53;36
53000040;SX4/SX4 Crossover;53;40
53000041;Kizashi;53;41
53000398;Other (automobile);53;398
53000399;Unknown (automobile);53;399
53000401;Samurai;53;401
53000402;Sidekick/Vitara/ Vitara V6;53;402
53000403;X-90;53;403
53000404;"Grand Vitara (2003 on; see model 402 for models prior to 2003)";53;404
53000405;"XL-7 (2003 on; see 402 for 2002 model year)";53;405
53000481;Equator;53;481
53000498;Other (light truck);53;498
53000499;Unknown (light truck);53;499
53000701;0-50cc;53;701
53000702;51-124cc;53;702
53000703;125-349cc;53;703
53000704;350-449cc;53;704
53000705;450-749cc;53;705
53000706;750cc-over;53;706
53000709;Unknown cc;53;709
53000731;0-50cc (ATV);53;731
53000732;51-124cc (ATV);53;732
53000733;125-349cc (ATV);53;733
53000734;350cc or greater (ATV);53;734
53000739;Unknown cc (ATV);53;739
53000999;Unknown (SUZUKI);53;999
54000031;Integra;54;31
54000032;Legend;54;32
54000033;NSX (For 1991-2005 only.  For 2016 on see model 043.);54;33
54000034;Vigor;54;34
54000035;TL;54;35
54000036;RL/RLX;54;36
54000037;CL;54;37
54000038;RSX;54;38
54000039;TSX;54;39
54000040;ZDX;54;40
54000041;ILX;54;41
54000043;NSX (2016 on.  For 1991-2005 see model 033.);54;43
54000044;TLX;54;44
54000398;Other (automobile);54;398
54000399;Unknown (automobile);54;399
54000401;SLX;54;401
54000402;RDX;54;402
54000421;MDX;54;421
54000498;Other (light truck);54;498
54000499;Unknown (light truck);54;499
54000999;Unknown (ACURA);54;999
55000031;Pony;55;31
55000032;Excel;55;32
55000033;Sonata;55;33
55000034;Scoupe;55;34
55000035;Elantra;55;35
55000036;Accent;55;36
55000037;Tiburon;55;37
55000038;XG300(2001)/ XG350(2002 on);55;38
55000039;Azera  (For 2018 on, code as vehicle model 398);55;39
55000040;Equus;55;40
55000041;Genesis (For 2009-2016 only. For model years 2017 on, see 55-043, 55-044 and 55-046);55;41
38000398;Other (automobile);38;398
38000399;Unknown (automobile);38;399
38000401;Trooper/Trooper II;38;401
38000402;Rodeo/ Rodeo Sport;38;402
38000403;Amigo;38;403
38000404;VehiCROSS;38;404
38000405;Axiom;38;405
38000421;Ascender;38;421
38000441;Oasis;38;441
38000471;P'up (pickup);38;471
38000472;Hombre;38;472
38000473;i-280/i-290;38;473
38000474;i-350/i-370;38;474
38000498;Other (light truck);38;498
38000499;Unknown (light truck);38;499
38000881;Medium/Heavy – CBE;38;881
38000882;Medium/Heavy – COE, low entry;38;882
38000883;Medium/Heavy – COE, high entry;38;883
38000884;Medium/Heavy – Unknown engine location;38;884
38000890;Medium/Heavy – COE entry position unknown;38;890
38000898;Other (medium/heavy truck);38;898
38000981;Bus**: Conventional (Engine out front);38;981
38000982;Bus: Front engine, Flat front;38;982
38000983;Bus: Rear engine Flat front;38;983
38000988;Other (bus);38;988
38000989;Unknown (bus);38;989
38000999;Unknown (ISUZU);38;999
39000031;XJ-S, XK8 Coupe;39;31
39000032;XJ/XJL/XJ6/12/XJR/XJ8/  XJ8L Sedan/Coupe;39;32
39000033;XK-E;39;33
39000034;S-Type;39;34
39000035;XKR/XK;39;35
39000036;X-Type;39;36
39000037;XF/XFR;39;37
39000038;F-Type;39;38
39000039;XE;39;39
39000398;Other (automobile);39;398
39000399;Unknown (automobile);39;399
39000401;F-Pace;39;401
39000402;E-Pace;39;402
39000403;I-Pace;39;403
39000498;Other (light truck);39;498
39000499;Unknown (light truck);39;499
39000999;Unknown (JAGUAR);39;999
40000031;Beta Sedan – HPE;40;31
40000032;Zagato;40;32
40000033;Scorpion;40;33
40000398;Other (automobile);40;398
40000399;Unknown (automobile);40;399
41000031;RX2;41;31
41000032;RX3;41;32
41000033;RX4;41;33
41000034;RX7;41;34
41000035;323/GLC/ Protégé/ Protégé5;41;35
41000036;Cosmo;41;36
41000037;626;41;37
41000038;808;41;38
41000039;Mizer;41;39
41000040;R-100;41;40
41000041;616/618;41;41
41000042;1800;41;42
41000043;929;41;43
41000044;MX-6;41;44
41000045;Miata/MX-5;41;45
41000046;MX-3;41;46
41000047;Millenia;41;47
41000048;MP3;41;48
41000049;RX-8;41;49
41000050;Mazda6;41;50
41000051;Mazda3;41;51
41000052;Mazda5;41;52
41000053;CX-7;41;53
41000054;CX-9 (2007-12 only.For 2013 on see model 421.);41;54
41000055;Mazda2;41;55
41000056;CX-3;41;56
41000398;Other (automobile);41;398
41000399;Unknown (automobile);41;399
41000401;Navajo;41;401
41000402;Tribute;41;402
41000403;CX5;41;403
41000421;CX-9 (2013 on. See model 054 for 2007-12 model years.);41;421
41000441;MPV;41;441
41000471;Pickup/ B-Series Pickup;41;471
41000498;Other (light truck);41;498
41000499;Unknown (light truck);41;499
41000999;Unknown (MAZDA);41;999
42000031;200/220/230/240/ 250/260/280/300/ 320/420;42;31
